id,title,genres,overview,cast,director,popularity,release_date,vote_average
2851,The Avengers,Science Fiction Action Adventure,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon,144.448633,25-04-2012,7.4
110,The Godfather,Drama Crime,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",Marlon Brando Al Pacino James Caan Richard S. Castellano Robert Duvall,Francis Ford Coppola,143.659698,14-03-1972,8.4
3968,Teenage Mutant Ninja Turtles,Science Fiction Action Adventure Fantasy Comedy,The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.,Megan Fox Will Arnett William Fichtner Alan Ritchson Noel Fisher,Jonathan Liebesman,143.350376,07-08-2014,5.8
4310,Gone Girl,Mystery Thriller Drama,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Ben Affleck Rosamund Pike Carrie Coon Neil Patrick Harris Tyler Perry,David Fincher,143.041543,01-10-2014,7.9
4465,Pixels,Action Comedy Science Fiction,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James,Chris Columbus,140.849495,16-07-2015,5.6
4357,Fury,War Drama Action,"Last months of World War II in April 1945. As the Allies make their final push in the European Theater, a battle-hardened U.S. Army sergeant in the 2nd Armored Division named Wardaddy commands a Sherman tank called ""Fury"" and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",Brad Pitt Shia LaBeouf Logan Lerman Michael Pe\u00f1a Jon Bernthal,David Ayer,139.575085,15-10-2014,7.4
4418,X-Men: Apocalypse,Science Fiction,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer,139.272042,18-05-2016,6.4
131,Pirates of the Caribbean: At World's End,Adventure Fantasy Action,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski,139.082615,19-05-2007,6.9
3626,Rise of the Planet of the Apes,Thriller Action Drama Science Fiction,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee.",James Franco Freida Pinto John Lithgow Brian Cox Tom Felton,Rupert Wyatt,138.433168,03-08-2011,7.0
4,Forrest Gump,Comedy Drama Romance,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",Tom Hanks Robin Wright Gary Sinise Mykelti Williamson Sally Field,Robert Zemeckis,138.133331,06-07-1994,8.2
55,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Action,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",Elijah Wood Ian McKellen Cate Blanchett Orlando Bloom Sean Bean,Peter Jackson,138.049577,18-12-2001,8.0
3946,Despicable Me 2,Animation Comedy Family,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,Steve Carell Kristen Wiig Benjamin Bratt Miranda Cosgrove Russell Brand,Pierre Coffin,136.886704,25-06-2013,7.0
127,The Shawshank Redemption,Drama Crime,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Tim Robbins Morgan Freeman Bob Gunton Clancy Brown Mark Rolston,Frank Darabont,136.747729,23-09-1994,8.5
593,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall,135.413856,14-05-2011,6.4
3971,Avengers: Age of Ultron,Action Adventure Science Fiction,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon,134.279229,22-04-2015,7.3
299,Harry Potter and the Chamber of Secrets,Adventure Fantasy Family,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Alan Rickman,Chris Columbus,132.397737,13-11-2002,7.4
4274,The Maze Runner,Action Mystery Science Fiction Thriller,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",Dylan O'Brien Ki Hong Lee Kaya Scodelario Aml Ameen Blake Cooper,Wes Ball,131.815575,10-09-2014,7.0
4173,Tomorrowland,Adventure Family Mystery Science Fiction,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird,130.311355,19-05-2015,6.2
4140,Inside Out,Drama Comedy Animation Family,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter,128.655964,09-06-2015,8.0
214,One Flew Over the Cuckoo's Nest,Drama,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",Jack Nicholson Louise Fletcher Danny DeVito William Redfield Scatman Crothers,Milo\u0161 Forman,127.525581,18-11-1975,8.2
4081,The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence,127.284427,18-11-2015,6.6
1176,Twilight,Adventure Fantasy Drama Romance,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",Kristen Stewart Robert Pattinson Billy Burke Taylor Lautner Peter Facinelli,Catherine Hardwicke,127.084938,20-11-2008,5.8
2,Star Wars,Adventure Action Science Fiction,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,Mark Hamill Harrison Ford Carrie Fisher Peter Cushing Alec Guinness,George Lucas,126.393695,25-05-1977,8.1
3631,Brave,Animation Adventure Comedy Family Action,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman,125.114374,21-06-2012,6.7
57,The Lord of the Rings: The Return of the King,Adventure Fantasy Action,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",Elijah Wood Ian McKellen Viggo Mortensen Liv Tyler Orlando Bloom,Peter Jackson,123.630332,01-12-2003,8.1
305,Pulp Fiction,Thriller Crime,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",John Travolta Samuel L. Jackson Uma Thurman Bruce Willis Ving Rhames,Quentin Tarantino,121.463076,08-10-1994,8.3
4058,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,120.965743,10-12-2014,7.1
568,Iron Man,Action Science Fiction Adventure,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau,120.725053,30-04-2008,7.4
3985,Ant-Man,Science Fiction Action Adventure,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Peyton Reed,120.09361,14-07-2015,7.0
59,Spirited Away,Fantasy Adventure Animation Family,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,Rumi Hiiragi Miyu Irino Mari Natsuki Takashi Naito Yasuko Sawaguchi,Hayao Miyazaki,118.968562,20-07-2001,8.3
4074,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer,118.078691,15-05-2014,7.5
3940,Transformers: Age of Extinction,Science Fiction Action Adventure,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay,116.840296,25-06-2014,5.8
4270,Chappie,Crime Action Science Fiction,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",Sharlto Copley Dev Patel Ninja Yolandi Visser Jose Pablo Cantillo,Neill Blomkamp,116.700319,04-03-2015,6.6
233,Spider-Man 3,Fantasy Action Adventure,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi,115.699814,01-05-2007,5.9
4225,Night at the Museum: Secret of the Tomb,Adventure Comedy Fantasy Family,"When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley (Ben Stiller) spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",Ben Stiller Rami Malek Rebel Wilson Robin Williams Owen Wilson,Shawn Levy,115.597753,17-12-2014,6.1
4385,Lucy,Action Science Fiction,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",Scarlett Johansson Morgan Freeman Choi Min-sik Amr Waked Julian Rhind-Tutt,Luc Besson,115.241998,14-07-2014,6.3
124,Batman Begins,Action Crime Drama,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan,115.040024,10-06-2005,7.5
4218,Mission: Impossible - Rogue Nation,Action Adventure Thriller,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie,114.522237,23-07-2015,7.1
2705,Despicable Me,Animation Family,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",Steve Carell Jason Segel Russell Brand Julie Andrews Will Arnett,Pierre Coffin,113.858273,08-07-2010,7.1
4583,Maze Runner: The Scorch Trials,Action,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen,Wes Ball,113.161483,09-09-2015,6.4
3453,The Dark Knight Rises,Action Crime Drama Thriller,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan,112.31295,16-07-2012,7.6
3983,Maleficent,Fantasy Adventure Action Family Romance,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.",Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg,110.620647,28-05-2014,7.0
3455,Gravity,Science Fiction Thriller Drama,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",Sandra Bullock George Clooney Ed Harris Orto Ignatiussen Phaldut Sharma,Alfonso Cuar\u00f3n,110.153618,27-09-2013,7.3
298,Harry Potter and the Philosopher's Stone,Adventure Fantasy Family,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Tom Felton,Chris Columbus,109.984351,16-11-2001,7.5
142,Bruce Almighty,Fantasy Comedy,"Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, N.Y. Despite his high ratings and the love of his beautiful girlfriend, Grace, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God -- and the Almighty responds, endowing Bruce with all of His divine powers.",Jim Carrey Jennifer Aniston Philip Baker Hall Catherine Bell Lisa Ann Walter,Tom Shadyac,109.684788,23-05-2003,6.4
7,The Fifth Element,Adventure Fantasy Action Thriller Science Fiction,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",Bruce Willis Gary Oldman Ian Holm Milla Jovovich Chris Tucker,Luc Besson,109.528572,07-05-1997,7.3
3457,The Hobbit: An Unexpected Journey,Adventure Fantasy Action,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson,108.849621,26-11-2012,7.0
1790,Quantum of Solace,Adventure Action Thriller Crime,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster,107.928811,30-10-2008,6.1
4300,Spectre,Action Adventure Crime,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes,107.376788,26-10-2015,6.3
